correctionTimer ; 254.843 ; 3.03385 ; setSolutionTimer ; 10.2338 ; 0.121831 ; cycleWatch ; 5980.9 ; 427.207 ; setupWatch ; 47.4921 ; 47.4921 ; restrictionTimer ; 323.679 ; 3.85332 ; preSmoothTimer ; 2000.45 ; 23.8148 ; upResidualTimer ; 747.263 ; 8.89598 ; postSmoothTimer ; 1964 ; 23.3809 ; commTimer ; 1902.93 ; 2.01796 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 255.075 ; 3.03661 ; setSolutionTimer ; 9.6459 ; 0.114832 ; cycleWatch ; 5978.97 ; 427.069 ; setupWatch ; 48.2906 ; 48.2906 ; restrictionTimer ; 337.119 ; 4.01332 ; preSmoothTimer ; 1946.29 ; 23.1701 ; upResidualTimer ; 788.527 ; 9.38723 ; postSmoothTimer ; 1954.91 ; 23.2727 ; commTimer ; 2112.67 ; 2.24037 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 254.828 ; 3.03366 ; setSolutionTimer ; 10.0205 ; 0.119291 ; cycleWatch ; 5964.76 ; 426.055 ; setupWatch ; 48.2921 ; 48.2921 ; restrictionTimer ; 316.81 ; 3.77155 ; preSmoothTimer ; 1895.17 ; 22.5616 ; upResidualTimer ; 859.391 ; 10.2308 ; postSmoothTimer ; 1953.65 ; 23.2578 ; commTimer ; 2034.9 ; 2.1579 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 255.276 ; 3.039 ; setSolutionTimer ; 8.78464 ; 0.104579 ; cycleWatch ; 5957.84 ; 425.56 ; setupWatch ; 48.1792 ; 48.1792 ; restrictionTimer ; 366.74 ; 4.36595 ; preSmoothTimer ; 1970.03 ; 23.4527 ; upResidualTimer ; 735.731 ; 8.75871 ; postSmoothTimer ; 1880.54 ; 22.3874 ; commTimer ; 2394.82 ; 2.53957 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 243.564 ; 2.89957 ; setSolutionTimer ; 8.59945 ; 0.102374 ; cycleWatch ; 5920.19 ; 422.871 ; setupWatch ; 48.2952 ; 48.2952 ; restrictionTimer ; 307.75 ; 3.66369 ; preSmoothTimer ; 2037.85 ; 24.2601 ; upResidualTimer ; 726.756 ; 8.65185 ; postSmoothTimer ; 1808.4 ; 21.5285 ; commTimer ; 2136.22 ; 2.26535 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 241.935 ; 2.88018 ; setSolutionTimer ; 8.96208 ; 0.106691 ; cycleWatch ; 5824.5 ; 416.036 ; setupWatch ; 45.4379 ; 45.4379 ; restrictionTimer ; 356.572 ; 4.2449 ; preSmoothTimer ; 2005.23 ; 23.8718 ; upResidualTimer ; 709.599 ; 8.44761 ; postSmoothTimer ; 1842.23 ; 21.9314 ; commTimer ; 2057.21 ; 2.18156 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.557 ; 3.01854 ; setSolutionTimer ; 8.50824 ; 0.101289 ; cycleWatch ; 5929.39 ; 423.528 ; setupWatch ; 47.2156 ; 47.2156 ; restrictionTimer ; 355.08 ; 4.22715 ; preSmoothTimer ; 1974.81 ; 23.5096 ; upResidualTimer ; 742.336 ; 8.83734 ; postSmoothTimer ; 1884.02 ; 22.4288 ; commTimer ; 2367.1 ; 2.51018 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.586 ; 3.01889 ; setSolutionTimer ; 9.63901 ; 0.11475 ; cycleWatch ; 5946 ; 424.715 ; setupWatch ; 48.1098 ; 48.1098 ; restrictionTimer ; 338.16 ; 4.02571 ; preSmoothTimer ; 1933.45 ; 23.0173 ; upResidualTimer ; 799.736 ; 9.52067 ; postSmoothTimer ; 1890.66 ; 22.5079 ; commTimer ; 2101.49 ; 2.22851 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.647 ; 3.01961 ; setSolutionTimer ; 9.46465 ; 0.112674 ; cycleWatch ; 5934.2 ; 423.871 ; setupWatch ; 48.274 ; 48.274 ; restrictionTimer ; 330.237 ; 3.93139 ; preSmoothTimer ; 1973.15 ; 23.4898 ; upResidualTimer ; 768.286 ; 9.14626 ; postSmoothTimer ; 1921.34 ; 22.8731 ; commTimer ; 2168.57 ; 2.29965 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.759 ; 3.02094 ; setSolutionTimer ; 9.84346 ; 0.117184 ; cycleWatch ; 5935.51 ; 423.965 ; setupWatch ; 48.2835 ; 48.2835 ; restrictionTimer ; 325.171 ; 3.87108 ; preSmoothTimer ; 2008.4 ; 23.9095 ; upResidualTimer ; 737.964 ; 8.78529 ; postSmoothTimer ; 1914.11 ; 22.7871 ; commTimer ; 1905.3 ; 2.02046 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.581 ; 3.01882 ; setSolutionTimer ; 9.7397 ; 0.115949 ; cycleWatch ; 5971.52 ; 426.537 ; setupWatch ; 48.2492 ; 48.2492 ; restrictionTimer ; 338.873 ; 4.0342 ; preSmoothTimer ; 1943.94 ; 23.1422 ; upResidualTimer ; 788.875 ; 9.39137 ; postSmoothTimer ; 1949.22 ; 23.205 ; commTimer ; 1995.18 ; 2.11578 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.813 ; 3.02159 ; setSolutionTimer ; 9.62347 ; 0.114565 ; cycleWatch ; 5967.61 ; 426.258 ; setupWatch ; 48.3406 ; 48.3406 ; restrictionTimer ; 328.288 ; 3.9082 ; preSmoothTimer ; 1991.35 ; 23.7066 ; upResidualTimer ; 752.349 ; 8.95654 ; postSmoothTimer ; 1973.41 ; 23.493 ; commTimer ; 1801.22 ; 1.91009 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.578 ; 3.01879 ; setSolutionTimer ; 10.0495 ; 0.119637 ; cycleWatch ; 5983.81 ; 427.415 ; setupWatch ; 48.1985 ; 48.1985 ; restrictionTimer ; 327.323 ; 3.89671 ; preSmoothTimer ; 2004.2 ; 23.8596 ; upResidualTimer ; 740.005 ; 8.80959 ; postSmoothTimer ; 1975.76 ; 23.5209 ; commTimer ; 1810.33 ; 1.91976 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.851 ; 3.02204 ; setSolutionTimer ; 9.57838 ; 0.114028 ; cycleWatch ; 5985.09 ; 427.506 ; setupWatch ; 45.3563 ; 45.3563 ; restrictionTimer ; 324.069 ; 3.85797 ; preSmoothTimer ; 1992.5 ; 23.7202 ; upResidualTimer ; 755.529 ; 8.99439 ; postSmoothTimer ; 1976.7 ; 23.5321 ; commTimer ; 1850.02 ; 1.96184 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
