correctionTimer ; 188.47 ; 3.49019 ; setSolutionTimer ; 5.12139 ; 0.0948406 ; cycleWatch ; 10818.5 ; 1202.05 ; setupWatch ; 31.7106 ; 31.7106 ; restrictionTimer ; 182.152 ; 3.37318 ; preSmoothTimer ; 4844.18 ; 89.7071 ; upResidualTimer ; 404.915 ; 7.49843 ; postSmoothTimer ; 4813.98 ; 89.1479 ; commTimer ; 999.439 ; 1.50518 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 186.506 ; 3.45382 ; setSolutionTimer ; 4.91643 ; 0.091045 ; cycleWatch ; 10819 ; 1202.11 ; setupWatch ; 33.2397 ; 33.2397 ; restrictionTimer ; 189.607 ; 3.51124 ; preSmoothTimer ; 4838.23 ; 89.5968 ; upResidualTimer ; 403.513 ; 7.47246 ; postSmoothTimer ; 4819.56 ; 89.2511 ; commTimer ; 993.815 ; 1.49671 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 185.17 ; 3.42908 ; setSolutionTimer ; 5.43384 ; 0.100627 ; cycleWatch ; 10812.8 ; 1201.42 ; setupWatch ; 32.6128 ; 32.6128 ; restrictionTimer ; 182.656 ; 3.38253 ; preSmoothTimer ; 4839.99 ; 89.6294 ; upResidualTimer ; 408.243 ; 7.56006 ; postSmoothTimer ; 4804.82 ; 88.9781 ; commTimer ; 1051.91 ; 1.58419 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 188.472 ; 3.49022 ; setSolutionTimer ; 5.10658 ; 0.0945662 ; cycleWatch ; 10826.7 ; 1202.96 ; setupWatch ; 33.2501 ; 33.2501 ; restrictionTimer ; 197.009 ; 3.64831 ; preSmoothTimer ; 4832.83 ; 89.4969 ; upResidualTimer ; 401.518 ; 7.43552 ; postSmoothTimer ; 4822.32 ; 89.3022 ; commTimer ; 1011.85 ; 1.52387 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 188.555 ; 3.49175 ; setSolutionTimer ; 5.15434 ; 0.0954507 ; cycleWatch ; 10818.5 ; 1202.06 ; setupWatch ; 29.9053 ; 29.9053 ; restrictionTimer ; 180.734 ; 3.34692 ; preSmoothTimer ; 4846.39 ; 89.7479 ; upResidualTimer ; 404.243 ; 7.48599 ; postSmoothTimer ; 4816.72 ; 89.1985 ; commTimer ; 1009.12 ; 1.51975 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 186.527 ; 3.45421 ; setSolutionTimer ; 4.91984 ; 0.0911082 ; cycleWatch ; 10821.9 ; 1202.43 ; setupWatch ; 32.6792 ; 32.6792 ; restrictionTimer ; 189.905 ; 3.51676 ; preSmoothTimer ; 4840.34 ; 89.636 ; upResidualTimer ; 401.217 ; 7.42995 ; postSmoothTimer ; 4823.57 ; 89.3254 ; commTimer ; 1001.27 ; 1.50794 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 186.163 ; 3.44747 ; setSolutionTimer ; 5.48955 ; 0.101658 ; cycleWatch ; 10812.7 ; 1201.41 ; setupWatch ; 32.6733 ; 32.6733 ; restrictionTimer ; 181.821 ; 3.36706 ; preSmoothTimer ; 4845.46 ; 89.7308 ; upResidualTimer ; 403.799 ; 7.47777 ; postSmoothTimer ; 4809.85 ; 89.0713 ; commTimer ; 1017.6 ; 1.53253 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 189.405 ; 3.50751 ; setSolutionTimer ; 5.18334 ; 0.0959877 ; cycleWatch ; 10829.3 ; 1203.26 ; setupWatch ; 33.2495 ; 33.2495 ; restrictionTimer ; 197.025 ; 3.64861 ; preSmoothTimer ; 4837.75 ; 89.588 ; upResidualTimer ; 396.745 ; 7.34712 ; postSmoothTimer ; 4827.41 ; 89.3965 ; commTimer ; 980.011 ; 1.47592 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 189.464 ; 3.50859 ; setSolutionTimer ; 5.24449 ; 0.0971202 ; cycleWatch ; 10819.3 ; 1202.15 ; setupWatch ; 29.656 ; 29.656 ; restrictionTimer ; 180.506 ; 3.34271 ; preSmoothTimer ; 4851.7 ; 89.8462 ; upResidualTimer ; 399.309 ; 7.39461 ; postSmoothTimer ; 4821.83 ; 89.2931 ; commTimer ; 973.879 ; 1.46669 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 187.39 ; 3.47018 ; setSolutionTimer ; 4.95884 ; 0.0918304 ; cycleWatch ; 10822.3 ; 1202.48 ; setupWatch ; 32.6732 ; 32.6732 ; restrictionTimer ; 189.548 ; 3.51015 ; preSmoothTimer ; 4845.67 ; 89.7347 ; upResidualTimer ; 396.437 ; 7.34142 ; postSmoothTimer ; 4828.71 ; 89.4206 ; commTimer ; 967.029 ; 1.45637 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
