correctionTimer ; 170.676 ; 3.16066 ; setSolutionTimer ; 13.7354 ; 0.254359 ; cycleWatch ; 36332.9 ; 4036.99 ; setupWatch ; 39.8251 ; 39.8251 ; restrictionTimer ; 294.638 ; 5.45625 ; preSmoothTimer ; 17330.8 ; 320.941 ; upResidualTimer ; 655.888 ; 12.1461 ; postSmoothTimer ; 17317.6 ; 320.697 ; commTimer ; 2635.3 ; 3.98684 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 170.571 ; 3.15872 ; setSolutionTimer ; 11.9355 ; 0.221027 ; cycleWatch ; 36327.8 ; 4036.43 ; setupWatch ; 37.8302 ; 37.8302 ; restrictionTimer ; 291.619 ; 5.40034 ; preSmoothTimer ; 17208.9 ; 318.682 ; upResidualTimer ; 782.796 ; 14.4962 ; postSmoothTimer ; 17200.6 ; 318.529 ; commTimer ; 3331.27 ; 5.03974 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 179.522 ; 3.32447 ; setSolutionTimer ; 11.5502 ; 0.213893 ; cycleWatch ; 36350.5 ; 4038.94 ; setupWatch ; 39.5921 ; 39.5921 ; restrictionTimer ; 296.579 ; 5.4922 ; preSmoothTimer ; 17403.7 ; 322.291 ; upResidualTimer ; 583.571 ; 10.8069 ; postSmoothTimer ; 17382.2 ; 321.892 ; commTimer ; 2194.98 ; 3.3207 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 179.362 ; 3.32152 ; setSolutionTimer ; 14.0329 ; 0.259868 ; cycleWatch ; 36355.3 ; 4039.48 ; setupWatch ; 39.8563 ; 39.8563 ; restrictionTimer ; 294.385 ; 5.45158 ; preSmoothTimer ; 17400.8 ; 322.236 ; upResidualTimer ; 586.111 ; 10.8539 ; postSmoothTimer ; 17387.3 ; 321.988 ; commTimer ; 2192.93 ; 3.31759 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 178.374 ; 3.30323 ; setSolutionTimer ; 11.6373 ; 0.215505 ; cycleWatch ; 36351.4 ; 4039.05 ; setupWatch ; 38.4533 ; 38.4533 ; restrictionTimer ; 295.974 ; 5.481 ; preSmoothTimer ; 17402.6 ; 322.27 ; upResidualTimer ; 585.024 ; 10.8338 ; postSmoothTimer ; 17383.2 ; 321.911 ; commTimer ; 2199.12 ; 3.32697 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 178.484 ; 3.30526 ; setSolutionTimer ; 12.7878 ; 0.236811 ; cycleWatch ; 36352.2 ; 4039.13 ; setupWatch ; 41.1577 ; 41.1577 ; restrictionTimer ; 294.467 ; 5.45309 ; preSmoothTimer ; 17401.3 ; 322.247 ; upResidualTimer ; 586.664 ; 10.8641 ; postSmoothTimer ; 17383.9 ; 321.925 ; commTimer ; 2192.92 ; 3.31758 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 177.923 ; 3.29488 ; setSolutionTimer ; 13.5525 ; 0.250972 ; cycleWatch ; 36353.2 ; 4039.24 ; setupWatch ; 39.8638 ; 39.8638 ; restrictionTimer ; 295.01 ; 5.46315 ; preSmoothTimer ; 17399.8 ; 322.218 ; upResidualTimer ; 586.917 ; 10.8688 ; postSmoothTimer ; 17387.5 ; 321.992 ; commTimer ; 2194.92 ; 3.3206 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 179.011 ; 3.31502 ; setSolutionTimer ; 13.418 ; 0.248482 ; cycleWatch ; 36353 ; 4039.22 ; setupWatch ; 40.4497 ; 40.4497 ; restrictionTimer ; 294.311 ; 5.4502 ; preSmoothTimer ; 17403.1 ; 322.279 ; upResidualTimer ; 584.517 ; 10.8244 ; postSmoothTimer ; 17385.5 ; 321.954 ; commTimer ; 2193.96 ; 3.31915 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 181.462 ; 3.3604 ; setSolutionTimer ; 12.303 ; 0.227833 ; cycleWatch ; 36349.2 ; 4038.8 ; setupWatch ; 41.0185 ; 41.0185 ; restrictionTimer ; 293.594 ; 5.43693 ; preSmoothTimer ; 17406.1 ; 322.335 ; upResidualTimer ; 583.354 ; 10.8028 ; postSmoothTimer ; 17378.9 ; 321.831 ; commTimer ; 2185.27 ; 3.30601 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 179.37 ; 3.32167 ; setSolutionTimer ; 11.4942 ; 0.212855 ; cycleWatch ; 36350.2 ; 4038.91 ; setupWatch ; 40.9615 ; 40.9615 ; restrictionTimer ; 294.457 ; 5.45291 ; preSmoothTimer ; 17402 ; 322.259 ; upResidualTimer ; 587.435 ; 10.8784 ; postSmoothTimer ; 17381.7 ; 321.883 ; commTimer ; 2190.48 ; 3.31389 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
