correctionTimer ; 180.907 ; 3.35014 ; setSolutionTimer ; 11.6399 ; 0.215553 ; cycleWatch ; 37206.1 ; 4134.01 ; setupWatch ; 39.2892 ; 39.2892 ; restrictionTimer ; 291.274 ; 5.39396 ; preSmoothTimer ; 17802.3 ; 329.672 ; upResidualTimer ; 610.882 ; 11.3126 ; postSmoothTimer ; 17796.3 ; 329.561 ; commTimer ; 2407.09 ; 3.61969 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 174.409 ; 3.2298 ; setSolutionTimer ; 11.4092 ; 0.211282 ; cycleWatch ; 37179.4 ; 4131.05 ; setupWatch ; 40.5167 ; 40.5167 ; restrictionTimer ; 290.997 ; 5.38883 ; preSmoothTimer ; 17714.5 ; 328.046 ; upResidualTimer ; 699.014 ; 12.9447 ; postSmoothTimer ; 17714.6 ; 328.049 ; commTimer ; 2926.28 ; 4.40043 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 171.951 ; 3.18428 ; setSolutionTimer ; 11.413 ; 0.211352 ; cycleWatch ; 37160.8 ; 4128.97 ; setupWatch ; 40.8837 ; 40.8837 ; restrictionTimer ; 292.736 ; 5.42103 ; preSmoothTimer ; 17596.9 ; 325.869 ; upResidualTimer ; 814.287 ; 15.0794 ; postSmoothTimer ; 17579.5 ; 325.545 ; commTimer ; 3594.36 ; 5.40505 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 179.348 ; 3.32126 ; setSolutionTimer ; 12.6712 ; 0.234651 ; cycleWatch ; 37182.2 ; 4131.36 ; setupWatch ; 40.0564 ; 40.0564 ; restrictionTimer ; 292.945 ; 5.42491 ; preSmoothTimer ; 17781.1 ; 329.279 ; upResidualTimer ; 628.887 ; 11.6461 ; postSmoothTimer ; 17762.4 ; 328.933 ; commTimer ; 2513.55 ; 3.77977 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 178.694 ; 3.30914 ; setSolutionTimer ; 14.1271 ; 0.261614 ; cycleWatch ; 37178.9 ; 4130.99 ; setupWatch ; 37.7968 ; 37.7968 ; restrictionTimer ; 290.011 ; 5.37057 ; preSmoothTimer ; 17779 ; 329.24 ; upResidualTimer ; 632.402 ; 11.7112 ; postSmoothTimer ; 17758.3 ; 328.857 ; commTimer ; 2509.91 ; 3.7743 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 179.788 ; 3.3294 ; setSolutionTimer ; 13.3004 ; 0.246303 ; cycleWatch ; 37179.4 ; 4131.05 ; setupWatch ; 39.7919 ; 39.7919 ; restrictionTimer ; 288.137 ; 5.33587 ; preSmoothTimer ; 17786.1 ; 329.372 ; upResidualTimer ; 628.084 ; 11.6312 ; postSmoothTimer ; 17754.5 ; 328.787 ; commTimer ; 2506.96 ; 3.76986 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.871 ; 3.34946 ; setSolutionTimer ; 12.0842 ; 0.223782 ; cycleWatch ; 37180.2 ; 4131.14 ; setupWatch ; 39.8693 ; 39.8693 ; restrictionTimer ; 295.559 ; 5.47331 ; preSmoothTimer ; 17782.3 ; 329.302 ; upResidualTimer ; 625.658 ; 11.5863 ; postSmoothTimer ; 17757.2 ; 328.837 ; commTimer ; 2508.58 ; 3.7723 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 179.105 ; 3.31676 ; setSolutionTimer ; 12.9329 ; 0.239498 ; cycleWatch ; 37189 ; 4132.12 ; setupWatch ; 39.3988 ; 39.3988 ; restrictionTimer ; 292.027 ; 5.40791 ; preSmoothTimer ; 17777.3 ; 329.21 ; upResidualTimer ; 633.411 ; 11.7298 ; postSmoothTimer ; 17764.5 ; 328.973 ; commTimer ; 2518.43 ; 3.78711 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 179.553 ; 3.32506 ; setSolutionTimer ; 13.8855 ; 0.257138 ; cycleWatch ; 37194.8 ; 4132.76 ; setupWatch ; 41.09 ; 41.09 ; restrictionTimer ; 295.638 ; 5.47478 ; preSmoothTimer ; 17777.1 ; 329.206 ; upResidualTimer ; 629.13 ; 11.6506 ; postSmoothTimer ; 17770.6 ; 329.085 ; commTimer ; 2525.14 ; 3.7972 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 178.199 ; 3.29999 ; setSolutionTimer ; 11.9813 ; 0.221876 ; cycleWatch ; 37189.7 ; 4132.18 ; setupWatch ; 39.6224 ; 39.6224 ; restrictionTimer ; 293.507 ; 5.43531 ; preSmoothTimer ; 17778.1 ; 329.224 ; upResidualTimer ; 632.216 ; 11.7077 ; postSmoothTimer ; 17766.1 ; 329.001 ; commTimer ; 2524.27 ; 3.7959 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
